city,start,end,n_days,n_interpolated,n_train,target,aqi_excludes,raw_adf_stat,raw_adf_p,raw_adf_lags,raw_adf_crit_5,raw_kpss_stat,raw_kpss_p,raw_diff_adf_stat,raw_diff_adf_p,raw_diff_adf_lags,raw_diff_adf_crit_5,raw_diff_kpss_stat,raw_diff_kpss_p,raw_adf_says_stationary,raw_kpss_says_stationary,raw_recommended_d,log_adf_stat,log_adf_p,log_adf_lags,log_adf_crit_5,log_kpss_stat,log_kpss_p,log_diff_adf_stat,log_diff_adf_p,log_diff_adf_lags,log_diff_adf_crit_5,log_diff_kpss_stat,log_diff_kpss_p,log_adf_says_stationary,log_kpss_says_stationary,log_recommended_d,acf_7,acf_7_peak_lag,acf_30,acf_30_peak_lag,acf_182,acf_182_peak_lag,acf_365,acf_365_peak_lag,stl_strength_7,stl_strength_365
Delhi,2015-01-01,2020-07-01,2009,2,1979,NO2,,-3.535797251786451,0.0071139546099010485,18,-2.8630157503198075,1.0199135375905888,0.01,-15.623123850612268,1.7219779310723125e-28,18,-2.8630165042063163,0.04314078974269787,0.1,True,False,0,-3.471995606699176,0.008736116604366604,20,-2.8630172588634664,0.9029465841970553,0.01,-15.992591524963759,6.645676728405977e-29,18,-2.8630165042063163,0.046663084138950206,0.1,True,False,0,0.650753571490677,2,0.34796518042662106,25,-0.03324872019399965,183,0.2118431982965507,362,0.10807206578577333,0.4828071136876544
Bengaluru,2015-01-01,2020-07-01,2009,6,1979,NO2,,-4.121032963310926,0.0008938316469230318,15,-2.863013493272342,0.47057150122762026,0.048294706930716164,-12.47717815143733,3.1494067717661925e-23,25,-2.8630218030562116,0.105130859566217,0.1,True,False,0,-3.6398240418606913,0.0050437631083169706,26,-2.8630218030562116,0.773217444044404,0.01,-11.611756351867449,2.5033596809595454e-21,26,-2.86302256314109,0.15083871770839802,0.1,True,False,0,0.6455864987635686,2,0.343259813965222,27,-0.3337462598753248,187,0.2521846039134345,370,0.09209188274212754,0.4962600556186233
Chennai,2015-01-01,2020-07-01,2009,36,1979,NO2,,-6.95537599030247,9.458777498245436e-10,11,-2.8630104945933974,0.3645465140132726,0.09243684740807215,-13.175643472073398,1.2249415002534193e-24,25,-2.8630218030562116,0.08707167208846972,0.1,True,True,0,-6.3935128270438515,2.0777979881289616e-08,6,-2.863006763364656,0.33960693873747755,0.1,-17.36778682104659,5.158900980042489e-30,11,-2.863011243118318,0.036775696769441805,0.1,True,True,0,0.5412871807542251,2,0.09190658009940803,34,0.014521528661882444,177,0.03365322769675375,370,0.09519052339926815,0.05380904651895391
Hyderabad,2015-01-04,2020-07-01,2006,28,1976,NO2,,-4.114421644718384,0.000916707634437441,10,-2.863011992405672,1.1278570378531803,0.01,-13.252439536651154,8.721096152919605e-25,18,-2.8630187704944223,0.02783671853695907,0.1,True,False,0,-3.9226930587041493,0.0018740430476940691,10,-2.863011992405672,1.6783252447104797,0.01,-14.545984112896392,5.056014938837393e-27,14,-2.8630157503198075,0.0193430013425693,0.1,True,False,0,0.783427714393221,2,0.41491633066808953,26,-0.3467446736901977,187,0.311390306143233,369,0.03165581946496698,0.27706587507088176
Lucknow,2015-01-01,2020-07-01,2009,24,1979,NO2,,-3.573151062224864,0.006295561023591449,20,-2.8630172588634664,1.1844488557865638,0.01,-13.751637025415327,1.04787717874982e-25,19,-2.8630172588634664,0.043986475591936004,0.1,True,False,0,-3.284575474735513,0.015582188182762045,18,-2.8630157503198075,1.6454579207029636,0.01,-16.146183734095192,4.6206016763586085e-29,17,-2.8630157503198075,0.04853888135367995,0.1,True,False,0,0.73260686948386,2,0.4193000043596496,25,-0.1193504578342705,187,0.33501207811007994,364,0.03248262561781079,0.44735807634373015
Ahmedabad,2017-10-25,2020-07-01,981,11,951,NO2,,-4.248024256493751,0.0005458511995096416,4,-2.8646000638781532,0.5076440206644183,0.03994504039089679,-13.164741327085515,1.2858380632566415e-24,9,-2.864619627202065,0.06851483230029036,0.1,True,False,0,-2.3942072972820228,0.14337803561370022,10,-2.864619627202065,0.9975409522838443,0.01,-13.522658067873426,2.71599212115864e-25,9,-2.864619627202065,0.09714049373320909,0.1,False,False,1,0.7833900837795702,2,0.3997859699505878,25,-0.16499027316990164,183,0.07067604631291002,364,0.08883308874816498,0.7594340850619503
