date,city,window,actual,observed,Naive (last value),Seasonal naive (weekly),Seasonal naive (annual),ARIMA,SARIMA,Holt-Winters,LSTM,XGBoost,Prophet
2020-06-02,Delhi,0,24.78,True,22.99,37.78999999999999,30.329999999999995,25.120270253452055,25.912836631863886,22.656346750219143,24.00347221089162,21.95434519588906,30.40079647360084
2020-06-03,Delhi,0,28.02,True,22.99,26.950000000000003,35.99999999999999,25.41323230063975,26.769336780633772,22.911270102406032,25.60230703842758,22.591990492690023,30.433494138849976
2020-06-04,Delhi,0,34.11,True,22.99,17.1,42.68,26.02841951937522,27.924338513962397,22.07514486763651,26.719636326996802,22.59737401062694,29.902727280725383
2020-06-05,Delhi,0,25.87,True,22.99,19.02,44.849999999999994,26.32267156660896,28.812743464318604,22.064715396579167,27.855713616496313,21.66065734627675,29.04155149928323
2020-06-06,Delhi,0,21.25,True,22.99,18.51,35.32000000000001,26.619997779944438,29.730556839428264,21.354812824826034,28.29314348494526,21.816143816946553,27.79288290648976
2020-06-07,Delhi,0,22.65,True,22.99,17.050000000000004,51.00000000000001,26.852998944104474,30.631056004740206,20.550348484846424,28.277701829160417,21.953464101278854,26.520731142351245
2020-06-08,Delhi,0,25.81,True,22.99,22.99,62.84000000000001,27.07377704773702,31.265615342212747,22.073062463782534,28.402789406506432,24.25915541385033,27.7606970074604
2020-06-09,Delhi,0,32.01,True,22.99,37.78999999999999,61.529999999999994,27.27876396080067,31.937727912711516,22.656346750219143,28.081760199691775,27.924565676945964,28.07371623420131
2020-06-10,Delhi,0,34.31,True,22.99,26.950000000000003,49.86000000000001,27.477584943297128,32.60886559737419,22.911270102406032,28.623842246599565,29.181666446536482,27.85230197887253
2020-06-11,Delhi,0,30.94,True,22.99,17.1,30.459999999999997,27.671325565366605,33.221391841785845,22.07514486763651,28.071829919962966,29.34419666792806,27.132668894077714
2020-06-12,Delhi,0,30.05,True,22.99,19.02,34.53,27.862077052626177,33.78113649607942,22.064715396579167,28.210944142837956,29.314036065849333,26.140734390321285
2020-06-13,Delhi,0,25.46,True,22.99,18.51,37.07000000000001,28.050436898107165,34.290182167924556,21.354812824826034,27.873193387764115,29.001339112400633,24.833441822252265
2020-06-14,Delhi,0,26.01,True,22.99,17.050000000000004,47.15,28.236922910546664,34.750011107717725,20.550348484846424,27.695824703273185,27.25907627373198,23.542233467313203
2020-06-15,Delhi,0,25.95,True,22.99,22.99,20.559999999999995,28.4217448782046,35.16211144069257,22.073062463782534,27.294484604252407,28.530564332247128,24.51569147556853
2020-06-16,Delhi,0,24.58,True,22.99,37.78999999999999,27.509999999999998,28.605040077561725,35.52807544587412,22.656346750219143,27.481465420740694,30.78744491336348,24.685467809530877
2020-06-17,Delhi,0,16.94,True,22.99,26.950000000000003,32.32000000000001,28.786872153987726,35.84959829602877,22.911270102406032,27.134993159572627,33.761511726988964,24.40914780219458
2020-06-18,Delhi,0,18.32,True,22.99,17.1,37.14000000000001,28.96727715621775,36.12845904850692,22.07514486763651,27.156602498992843,32.57598608002806,23.72267524111417
2020-06-19,Delhi,0,17.78,True,22.99,19.02,31.189999999999998,29.14627185199816,36.366500146477314,22.064715396579167,26.652029333494895,30.44881043330891,22.824938259423448
2020-06-20,Delhi,0,20.37,True,22.99,18.51,44.779999999999994,29.323864299467548,36.565608556689675,21.354812824826034,25.944599848417898,29.760125510049246,21.675551240056592
2020-06-21,Delhi,0,23.7,True,22.99,17.050000000000004,44.120000000000005,29.500057433292064,36.727699034405,20.550348484846424,26.42474107149133,28.741994554879646,20.561291925360102
2020-06-22,Delhi,0,20.61,True,22.99,22.99,23.020000000000003,29.67485179746319,36.85469947423216,22.073062463782534,26.76278564202632,29.01629234983414,21.456636908313456
2020-06-23,Delhi,0,16.39,True,22.99,37.78999999999999,25.929999999999996,29.848246749282517,36.94853819792465,22.656346750219143,26.904467621176938,30.00357545981864,21.665110049401935
2020-06-24,Delhi,0,16.84,True,22.99,26.950000000000003,32.24,30.02024121242284,37.011133010559,22.911270102406032,26.85456791778016,32.10938889344569,21.496168891941142
2020-06-25,Delhi,0,21.41,True,22.99,17.1,37.39,30.19083404654969,37.04438185706219,22.07514486763651,26.75619090395345,32.62793955919285,20.97512992203918
2020-06-26,Delhi,0,22.06,True,22.99,19.02,39.94,30.360024257455436,37.05015491751072,22.064715396579167,27.193675831212087,31.823067449706173,20.271878707390346
2020-06-27,Delhi,0,21.46,True,22.99,18.51,38.37,30.52781110248567,37.03028798854633,21.354812824826034,27.10796529161936,31.3892274062502,19.344172507524572
2020-06-28,Delhi,0,21.6,True,22.99,17.050000000000004,34.56000000000001,30.694194145334457,36.98657700845281,20.550348484846424,27.833511507638363,30.950302912430125,18.443945604609834
2020-06-29,Delhi,0,21.57,True,22.99,22.99,33.03,30.85917328097944,36.92077359428073,22.073062463782534,27.90142700673709,32.46861708282236,19.358774965987017
2020-06-30,Delhi,0,17.96,True,22.99,37.78999999999999,31.090000000000003,31.022748745211004,36.834581470469544,22.656346750219143,27.95952621056477,32.464260537477884,19.657846875320438
2020-07-01,Delhi,0,21.05,True,22.99,26.950000000000003,28.130000000000006,31.18492111550927,36.72965367937128,22.911270102406032,28.522222692217795,31.122495209816122,19.612753449905725
2020-02-03,Delhi,1,53.71,True,45.28,67.08999999999999,34.53,46.13471466648861,45.52135912004978,48.28812471782717,47.0305251994372,49.9252143616072,46.15970894841192
2020-02-04,Delhi,1,64.8,True,45.28,42.00999999999999,52.85000000000001,45.983556778822454,45.97130242421922,49.424832140107526,47.97873644257169,50.937201932465,47.88838201139236
2020-02-05,Delhi,1,53.35,True,45.28,42.24,75.88999999999997,46.14084527928058,45.884842870655426,51.30128785025337,48.903454185361454,52.26058690577377,49.021853825544554
2020-02-06,Delhi,1,51.82,True,45.28,45.04,50.55,46.154910346028025,45.729666998793014,49.866736828897345,48.38261474114015,52.73924186143772,49.50966633337026
2020-02-07,Delhi,1,58.46,True,45.28,47.35,30.799999999999997,46.20386677850531,45.5703954587467,48.17886455204597,49.00851502917069,49.92532363537968,49.10562103566057
2020-02-08,Delhi,1,47.55,True,45.28,44.25000000000001,39.239999999999995,46.23076638046138,45.53954006893125,47.29047141037087,49.233651216141006,47.16588330558209,48.122187609449185
2020-02-09,Delhi,1,50.75,True,45.28,45.28,38.31,46.26037349989487,45.40762474447829,44.62968806193219,49.219875321749385,45.07254055798796,46.94320839168347
2020-02-10,Delhi,1,56.48,True,45.28,67.08999999999999,49.26,46.2859153453528,45.27983395282272,48.28812471782717,48.790458002373164,47.474792035498005,50.14733111086862
2020-02-11,Delhi,1,60.12,True,45.28,42.00999999999999,58.56,46.311032223068494,45.16492951626689,49.424832140107526,49.30985963361627,47.79325456877212,51.755784886090716
2020-02-12,Delhi,1,55.96,True,45.28,42.24,66.37000000000002,46.33504230167029,45.047161832827044,51.30128785025337,49.13949547401801,45.804906407800765,52.58015317716877
2020-02-13,Delhi,1,41.59,True,45.28,45.04,70.03999999999999,46.3585379444364,44.927974904349746,49.866736828897345,49.01318426980375,44.16479868027296,52.582798796354616
2020-02-14,Delhi,1,34.6,True,45.28,47.35,53.150000000000006,46.381492912251055,44.80846028208835,48.17886455204597,49.33676576300684,42.54860282511772,51.53554858414033
2020-02-15,Delhi,1,44.57,True,45.28,44.25000000000001,44.28,46.4040213367768,44.68955761606026,47.29047141037087,48.838082012520125,42.3688540643532,49.812703308122934
2020-02-16,Delhi,1,57.15,True,45.28,45.28,33.32999999999999,46.426141531417144,44.572116588305164,44.62968806193219,49.44736260225625,42.350545895101945,47.85195367669458
2020-02-17,Delhi,1,61.17,True,45.28,67.08999999999999,42.589999999999996,46.44788245100278,44.45691810137049,48.28812471782717,49.20622843634001,46.229924041026734,50.2750618491223
2020-02-18,Delhi,1,59.91,True,45.28,42.00999999999999,56.119999999999976,46.46925624885638,44.34468335299991,49.424832140107526,49.307424715026194,48.24733991637157,50.987302390046246
2020-02-19,Delhi,1,59.9,True,45.28,42.24,55.44000000000001,46.49027419019813,44.236079175029914,51.30128785025337,50.12863650877219,47.750637445468065,50.873610981834695
2020-02-20,Delhi,1,44.05,True,45.28,45.04,51.879999999999995,46.51094407547332,44.13172209235602,49.866736828897345,50.11892589618619,45.05898761750624,49.958302429439584
2020-02-21,Delhi,1,33.27,True,45.28,47.35,47.15,46.531272882622844,44.03218182691065,48.17886455204597,48.96991487637687,43.012635231624,48.08882959094843
2020-02-22,Delhi,1,41.23,True,45.28,44.25000000000001,33.95,46.55126672379201,43.93798446608443,47.29047141037087,49.679344482869205,42.55404375008954,45.67588170165392
2020-02-23,Delhi,1,42.24,True,45.28,45.28,36.12,46.570931350921896,43.849615367588264,44.62968806193219,49.53298642006246,42.15080736461596,43.156585653262475
2020-02-24,Delhi,1,44.2,True,45.28,67.08999999999999,46.26,46.590272235223345,43.767521829824204,48.28812471782717,50.35914718547671,45.60337192124689,44.66221509952648
2020-02-25,Delhi,1,46.76,True,45.28,42.00999999999999,53.860000000000014,46.60929467959234,43.69211554429886,49.424832140107526,50.18768069635226,47.92491050422693,44.68328925147446
2020-02-26,Delhi,1,50.67,True,45.28,42.24,50.309999999999995,46.62800385407258,43.623774842848235,51.30128785025337,50.05068452705501,47.85490300601083,44.06091438964407
2020-02-27,Delhi,1,46.15,True,45.28,45.04,35.07000000000001,46.64640482442903,43.562846751148676,49.866736828897345,50.04140395109172,46.162780460975384,42.84697646450184
2020-02-28,Delhi,1,33.92,True,45.28,47.35,45.02000000000001,46.664502564606465,43.50964885935448,48.17886455204597,50.191108901806096,44.67653467262246,40.93045335273966
2020-02-29,Delhi,1,33.98,True,45.28,44.25000000000001,48.870000000000005,46.6823019650672,43.46447102021445,47.29047141037087,49.84504781122893,42.842833645556404,38.670177032950555
2020-03-01,Delhi,1,40.73,True,45.28,45.28,62.05000000000001,46.69980783728811,43.42757688454652,44.62968806193219,50.380057064264605,41.63950422195801,36.43030752336484
2020-03-02,Delhi,1,50.23,True,45.28,67.08999999999999,40.61,46.717024916790166,43.3992052834673,48.28812471782717,50.10539959433564,45.06204052518941,37.697155401972736
2020-03-03,Delhi,1,46.6,True,45.28,42.00999999999999,40.10000000000001,46.733957865164555,43.37957146628392,49.424832140107526,51.17302347686097,46.82969563433984,37.79674623378153
2019-10-06,Delhi,2,36.98,True,33.82,22.84,44.71000000000001,33.63444552992449,35.62131369380207,31.928681438890294,37.16236061786264,32.47658161138081,37.55904248700132
2019-10-07,Delhi,2,33.46,True,33.82,27.890000000000004,44.809999999999995,33.15007022599522,36.786552624600326,34.981899628424046,38.795825728851696,31.81802813144607,40.67717611989682
2019-10-08,Delhi,2,33.4,True,33.82,28.000000000000004,56.21000000000002,33.14426395689146,37.865867337500475,35.671326098203174,40.15492789255266,32.1515454179496,42.636144244305164
2019-10-09,Delhi,2,45.5,True,33.82,29.719999999999995,54.24,33.15478370136593,38.83633706993783,35.72721167497394,41.11180613927797,32.34588593136214,43.827449030951726
2019-10-10,Delhi,2,50.32,True,33.82,36.769999999999996,47.72999999999999,33.262507383521914,39.64834191396603,34.89657928259984,41.9346527554926,33.16870208932173,44.66414322097381
2019-10-11,Delhi,2,48.05,True,33.82,34.07,37.74000000000001,33.388386034155005,40.66640173510402,34.33316889448023,43.70014637831776,35.123913523114695,44.84272650964685
2019-10-12,Delhi,2,48.54,True,33.82,33.82,44.48,33.53591190974458,41.60588319649336,33.77561613972062,44.75964697377677,34.69496292977857,44.40215154846298
2019-10-13,Delhi,2,51.27,True,33.82,22.84,49.89,33.68965743958768,42.478019347811255,31.928681438890294,44.43948780349178,32.96961478019864,43.91060015812265
2019-10-14,Delhi,2,50.83,True,33.82,27.890000000000004,47.339999999999996,33.847798515180706,43.33976011064878,34.981899628424046,45.801931624733875,33.9071589783846,47.591727781222836
2019-10-15,Delhi,2,58.61,True,33.82,28.000000000000004,55.44000000000001,34.00689888933815,44.186811033700586,35.671326098203174,46.512434405301995,35.225789081294195,49.88904402729104
2019-10-16,Delhi,2,53.03,True,33.82,29.719999999999995,64.18000000000002,34.166023077027134,45.01565293258565,35.72721167497394,46.77148388101105,35.2642263951633,51.25077299895221
2019-10-17,Delhi,2,46.51,True,33.82,36.769999999999996,52.81000000000001,34.32432021450331,45.825589976004565,34.89657928259984,47.147672005276284,34.77927217731621,52.154737831135044
2019-10-18,Delhi,2,39.62,True,33.82,34.07,57.63999999999998,34.48146296853927,46.61661521127727,34.33316889448023,49.19573129884093,34.946054520820596,52.247471738575975
2019-10-19,Delhi,2,51.37,True,33.82,33.82,54.31,34.6372280111654,47.388889843192985,33.77561613972062,49.135001062090375,33.8150422997712,51.57924170215754
