city,start,end,n_days,n_interpolated,n_train,target,aqi_excludes,raw_adf_stat,raw_adf_p,raw_adf_lags,raw_adf_crit_5,raw_kpss_stat,raw_kpss_p,raw_diff_adf_stat,raw_diff_adf_p,raw_diff_adf_lags,raw_diff_adf_crit_5,raw_diff_kpss_stat,raw_diff_kpss_p,raw_adf_says_stationary,raw_kpss_says_stationary,raw_recommended_d,log_adf_stat,log_adf_p,log_adf_lags,log_adf_crit_5,log_kpss_stat,log_kpss_p,log_diff_adf_stat,log_diff_adf_p,log_diff_adf_lags,log_diff_adf_crit_5,log_diff_kpss_stat,log_diff_kpss_p,log_adf_says_stationary,log_kpss_says_stationary,log_recommended_d,acf_7,acf_7_peak_lag,acf_30,acf_30_peak_lag,acf_182,acf_182_peak_lag,acf_365,acf_365_peak_lag,stl_strength_7,stl_strength_365
Delhi,2015-01-01,2020-07-01,2009,2,1979,PM2.5,,-3.978676977557075,0.0015263739798401775,17,-2.86301499720276,0.1764541807394919,0.1,-15.604794126923995,1.8103809599861917e-28,16,-2.86301499720276,0.03924266576102755,0.1,True,True,0,-3.076639945216354,0.028330934909588365,18,-2.8630157503198075,0.29353042474346114,0.1,-14.983256477748455,1.15375731286902e-27,17,-2.8630157503198075,0.03138430650175146,0.1,True,True,0,0.7632721399444944,2,0.45090323290121725,25,-0.2707294171095057,187,0.5599871359757537,367,0.12181752003229951,0.7993438956022914
Bengaluru,2015-03-20,2020-07-01,1931,68,1901,PM2.5,,-6.943564143980094,1.0105743259018073e-09,13,-2.8630728855421026,0.20040813594054777,0.1,-14.052679795091917,3.156985531810314e-26,24,-2.8630827037453277,0.06762885959989962,0.1,True,True,0,-5.55698280019969,1.5728127696699608e-06,13,-2.8630728855421026,0.12290297459562238,0.1,-13.792647034002234,8.867316409526603e-26,24,-2.8630827037453277,0.07681924737197657,0.1,True,True,0,0.47514810232182747,2,0.15369278117524646,26,-0.12503453877857557,187,0.11916105007345397,360,0.09162084132942405,0.41128048069779133
Chennai,2015-03-23,2020-07-01,1928,36,1898,PM2.5,,-6.493186930304382,1.2122862624995795e-08,14,-2.8630761443612065,1.9036942992412962,0.01,-13.151758049447302,1.362447787922809e-24,26,-2.863086831883029,0.14028632021990534,0.1,True,False,0,-5.502782965287505,2.0534113669111636e-06,12,-2.863074513221476,2.0559490719491613,0.01,-12.201155125049885,1.2223713996279385e-22,26,-2.863086831883029,0.05122456130960238,0.1,True,False,0,0.424644094452259,2,0.12643096233745635,28,-0.09388404847766703,180,0.14255280029541104,366,0.024575836538724305,0.42256095530826576
Hyderabad,2015-03-31,2020-07-01,1920,29,1890,PM2.5,,-3.8551338051202175,0.00239100443512799,26,-2.8630926485318433,1.0216156571462405,0.01,-13.174523879592119,1.2310559540604395e-24,25,-2.8630926485318433,0.1007257456377054,0.1,True,False,0,-3.5818143790201185,0.006118368088139582,14,-2.8630827037453277,0.3143159640028899,0.1,-10.08305130826784,1.1747539604629633e-17,25,-2.8630926485318433,0.022980725438851046,0.1,True,True,0,0.28545285510082546,2,0.22025377622704595,25,-0.09579596138803656,184,0.1430767853061204,370,0.025940355090095513,0.5247292093470726
Lucknow,2015-03-20,2020-07-01,1931,24,1901,PM2.5,,-4.214411132368467,0.0006228513481097971,10,-2.8630704504871605,0.16772408359011776,0.1,-13.852909118873788,6.951901824456247e-26,20,-2.8630794170659684,0.16700157100978424,0.1,True,True,0,-3.620245717550389,0.005385562586056626,11,-2.863071261312085,0.15813037445018385,0.1,-18.99220701731489,0.0,10,-2.863071261312085,0.05659040789832887,0.1,True,True,0,0.7387450567706507,2,0.48341419851649775,25,-0.28022721505626635,187,0.4797445122397287,370,0.08609543873061931,0.7551907791800445
Ahmedabad,2017-10-10,2020-07-01,996,19,966,PM2.5,,-4.618162504872515,0.00011957074813608586,7,-2.8645616735407002,1.4148901169802832,0.01,-11.103401821272385,3.8152906824801795e-20,16,-2.864593597887944,0.08453248022395472,0.1,True,False,0,-4.7836240478452385,5.844771924809601e-05,4,-2.8645522259969534,1.2519912688740735,0.01,-12.165400040268143,1.461241221289842e-22,11,-2.864577551835195,0.06269581927728322,0.1,True,False,0,0.5079538214350033,2,0.2094634699469576,29,-0.13959094626284876,186,0.1426209640886525,369,0.11208871142870946,0.7916224348586378
