city,window,test_start,test_end,n_train,model,kind,rmse,mse,mae,mape,n_scored,config,runtime_s,error,rmse_seed_std,n_runs,best_baseline_rmse,beats_baseline,rmse_vs_baseline_pct,rank,window_winner
Ahmedabad,2,2019-10-06,2019-11-04,726,SARIMA,model,41.32160037276092,1707.4746573661555,33.247977919209816,52.5149687005517,30,"SARIMA(1, 0, 2)x(0, 0, 1, 7) + 3 annual Fourier pairs",28.24,,,,38.98441120071799,False,6.0,4.0,False
Ahmedabad,2,2019-10-06,2019-11-04,726,ARIMA,model,42.03689391792433,1767.1004502668236,32.04465039265935,40.11251082209568,30,"ARIMA(1, 0, 2)",18.33,,,,38.98441120071799,False,7.8,5.0,False
Ahmedabad,2,2019-10-06,2019-11-04,726,Holt-Winters,model,42.36934335761896,1795.1612565558096,32.81367427868161,40.96028544805825,30,"Holt-Winters (add. damped trend, add. seasonal m=7)",0.49,,,,38.98441120071799,False,8.7,6.0,False
Ahmedabad,2,2019-10-06,2019-11-04,726,XGBoost,model,45.15276909904255,2038.7725573114517,36.43689121728339,63.42253890101621,30,"XGBoost recursive (21 features: lags 1-28, rolling [7, 14, 30], calendar)",3.19,,,,38.98441120071799,False,15.8,7.0,False
Ahmedabad,2,2019-10-06,2019-11-04,726,Seasonal naive (weekly),baseline,54.06998033413119,2923.5627733333336,42.72066666666668,51.07576992796577,30,Seasonal naive (weekly),0.0,,,,38.98441120071799,,38.7,8.0,False
Ahmedabad,2,2019-10-06,2019-11-04,726,Prophet,model,64.94284144462225,4217.572654901344,55.36015026125565,104.7235011009481,30,"Prophet (yearly + weekly, additive)",0.77,,,,38.98441120071799,False,66.6,9.0,False
Ahmedabad,3,2019-06-08,2019-07-07,606,ARIMA,model,11.930175888819928,142.32909673818037,10.321332156889124,26.49879032951137,30,"ARIMA(2, 0, 3)",16.86,,,,13.56751377371698,True,-12.1,1.0,True
Ahmedabad,3,2019-06-08,2019-07-07,606,Seasonal naive (weekly),baseline,13.56751377371698,184.07742999999996,11.022999999999998,24.908190816876548,30,Seasonal naive (weekly),0.04,,,,13.56751377371698,,0.0,2.0,False
Ahmedabad,3,2019-06-08,2019-07-07,606,LSTM,model,13.80809038670113,190.96362204109823,11.741162285274186,29.74786724428556,30,"LSTM(1x64) lookback=60, direct 30-step, 110 epochs (early stop), mean of seeds [42, 43, 44]",81.23,,0.5479615988280134,3.0,13.56751377371698,False,1.8,3.0,False
Ahmedabad,3,2019-06-08,2019-07-07,606,XGBoost,model,13.845119048579127,191.68732146932857,10.561021653226975,22.585001514865986,30,"XGBoost recursive (21 features: lags 1-28, rolling [7, 14, 30], calendar)",4.36,,,,13.56751377371698,False,2.0,4.0,False
