date,city,window,actual,observed,Naive (last value),Seasonal naive (weekly),Seasonal naive (annual),ARIMA,SARIMA,Holt-Winters,LSTM,XGBoost,Prophet
2020-06-02,Delhi,0,45.9,True,41.05,55.380000000000024,66.94,46.00924566596266,50.28505791718062,35.457094848215476,40.037943861695105,43.97457225477694,47.01706005310292
2020-06-03,Delhi,0,50.62,True,41.05,43.21999999999999,54.950000000000024,44.701154061546816,52.04364933186835,35.35852669957476,42.87847261246008,44.42739691568968,47.31181411425221
2020-06-04,Delhi,0,68.24,True,41.05,39.07000000000001,73.34999999999997,44.4387150418169,54.19828107137669,34.757871631112366,42.017048652565926,50.052701764676186,47.25903823482296
2020-06-05,Delhi,0,42.43,True,41.05,24.620000000000005,70.61000000000001,44.56897229933501,57.09999272185358,34.17026421226595,42.362137743123895,49.834343427505495,46.256310747428934
2020-06-06,Delhi,0,35.14,True,41.05,23.089999999999996,54.80999999999998,44.84949375880564,59.079686241942376,34.34345195193162,42.442001628746425,50.19797291346363,44.92743906303861
2020-06-07,Delhi,0,39.99,True,41.05,21.51,69.75,45.18755442597811,60.87018114774745,35.34793502224662,41.13638496846798,53.07735779067076,43.96059356811701
2020-06-08,Delhi,0,46.9,True,41.05,41.05,101.04999999999998,45.54726606180518,60.74550931119868,35.956032458897525,41.445272482506475,55.027528116597125,44.24795958410771
2020-06-09,Delhi,0,64.77,True,41.05,55.380000000000024,74.48000000000003,45.91466591909014,61.407547972513335,35.457094848215476,41.13747490104492,55.055453301123094,44.62158600738551
2020-06-10,Delhi,0,58.9,True,41.05,43.21999999999999,118.38000000000004,46.284301945846224,62.26483725402354,35.35852669957476,41.51402033690153,49.81450710112058,45.01375927293303
2020-06-11,Delhi,0,54.69,True,41.05,39.07000000000001,59.85999999999998,46.65403363138951,62.89860257135214,34.757871631112366,41.100015083028914,44.36650404642865,45.03616331303952
2020-06-12,Delhi,0,64.0,True,41.05,24.620000000000005,52.65999999999999,47.0230103444747,63.35364396376464,34.17026421226595,42.59546100540661,50.092434168638846,44.108959840830614
2020-06-13,Delhi,0,52.36,True,41.05,23.089999999999996,53.78999999999998,47.39088426393207,63.65190672769836,34.34345195193162,40.660338952421945,44.08577599836788,42.82627713325452
2020-06-14,Delhi,0,71.08,True,41.05,21.51,81.86000000000003,47.7575038304432,63.808657472002906,35.34793502224662,41.38339669642464,43.03896062384946,41.84713236883625
2020-06-15,Delhi,0,48.69,True,41.05,41.05,42.06,48.12279433823966,63.83695683361337,35.956032458897525,41.06485154785974,42.94232251454395,42.02157566215557
2020-06-16,Delhi,0,39.87,True,41.05,55.380000000000024,40.17999999999999,48.48671142180979,63.74885063862081,35.457094848215476,41.16148176234568,44.596181789648696,42.235304613005184
2020-06-17,Delhi,0,34.35,True,41.05,43.21999999999999,30.390000000000008,48.849222937059125,63.555661518641074,35.35852669957476,41.802850310602814,44.96167528674484,42.42535679669273
2020-06-18,Delhi,0,36.84,True,41.05,39.07000000000001,79.96000000000001,49.21030190218728,63.2680472191289,34.757871631112366,43.278575154490284,45.470395348526914,42.22970423015942
2020-06-19,Delhi,0,57.6,True,41.05,24.620000000000005,42.75999999999999,49.569923745950824,62.89600826004819,34.17026421226595,41.13349307477551,39.7660740783171,41.11680615438974
2020-06-20,Delhi,0,35.96,True,41.05,23.089999999999996,71.14999999999999,49.9280652332886,62.448892434809984,34.34345195193162,41.05124913046675,36.04125951863565,39.66010700463199
2020-06-21,Delhi,0,39.7,True,41.05,21.51,68.27000000000001,50.28470404400582,61.93540644137017,35.34793502224662,42.941758832916754,35.09796443468454,38.480727678562054
2020-06-22,Delhi,0,39.47,True,41.05,41.05,42.06,50.63981860562276,61.36363513815761,35.956032458897525,41.76674656422162,36.55780433393399,38.35759773960152
