date,city,actual,observed,Naive (last value),Seasonal naive (weekly),Seasonal naive (annual),ARIMA,SARIMA,Holt-Winters,LSTM,XGBoost,Prophet
2020-06-03,Delhi,123.0,True,100.00000000000003,155.99999999999994,212.00000000000009,123.09444395261033,127.85081986322416,101.12706133040228,121.61512749541352,120.79590163470945,135.5408047835373
2020-06-04,Delhi,144.0,True,100.00000000000003,174.00000000000006,190.0,127.51514098921899,132.95409681284553,101.42854572142171,113.39287405851846,120.82999749467938,136.01292207389508
2020-06-05,Delhi,126.0,True,100.00000000000003,128.99999999999997,208.99999999999994,130.1082400978948,137.29360416269526,99.00648345468342,112.93390020406676,123.27109382331236,133.78839148903964
2020-06-06,Delhi,102.0,True,100.00000000000003,84.00000000000001,192.0,131.77842439353648,141.22397031545188,97.01387880225975,120.20121272338321,130.4204540328212,128.88134531642442
2020-06-07,Delhi,104.0,True,100.00000000000003,80.00000000000003,183.99999999999991,132.989355951433,143.7336567034988,98.6053692225243,116.1704324133418,132.80286364528666,124.70855195115713
2020-06-08,Delhi,112.0,True,100.00000000000003,100.00000000000003,237.00000000000009,133.97259668033342,145.18520354404768,98.59748977157602,117.62682223504757,137.5819449654397,121.92712664258207
2020-06-09,Delhi,138.0,True,100.00000000000003,153.00000000000006,229.99999999999994,134.84237183362455,146.5057372879456,100.65516829976038,125.8926909306383,140.01750199723594,122.80911152356352
2020-06-10,Delhi,154.0,True,100.00000000000003,155.99999999999994,315.00000000000006,135.65468649753618,147.81623311053505,101.12706133040228,116.78000789571011,144.25022251907976,122.90967132491117
2020-06-11,Delhi,142.0,True,100.00000000000003,174.00000000000006,279.9999999999999,136.43691460042197,148.99509346348435,101.42854572142171,114.6774056805185,141.05718484865415,123.1040381458211
2020-06-12,Delhi,152.0,True,100.00000000000003,128.99999999999997,189.0,137.20241086592333,149.98848975948667,99.00648345468342,127.68955286689362,136.30732485382495,120.84831753948752
2020-06-13,Delhi,132.0,True,100.00000000000003,84.00000000000001,166.99999999999997,137.9576802987266,150.78259982843264,97.01387880225975,115.01282229376693,129.49619764365815,116.16876991204145
2020-06-14,Delhi,147.0,True,100.00000000000003,80.00000000000003,216.99999999999997,138.70588496067512,151.37807801881303,98.6053692225243,119.98435679873108,126.59944566860558,112.15673603464171
2020-06-15,Delhi,130.0,True,100.00000000000003,100.00000000000003,205.00000000000003,139.448556573906,151.78099999720692,98.59748977157602,119.22055993722635,123.7279146021864,109.39928804794786
2020-06-16,Delhi,126.0,True,100.00000000000003,153.00000000000006,125.99999999999999,140.18643224918435,151.99961065303654,100.65516829976038,120.41551393719732,126.17934057162061,109.92505905322886
2020-06-17,Delhi,110.0,True,100.00000000000003,155.99999999999994,118.99999999999997,140.91986213993644,152.04311919207976,101.12706133040228,125.48253341304674,129.43031754204654,109.73951777805256
2020-06-18,Delhi,107.0,True,100.00000000000003,174.00000000000006,173.0,141.64900823938464,151.92121859255542,101.42854572142171,131.31812743737214,137.28720707879674,109.63052365028342
