city,window,test_start,test_end,n_train,model,seed,rmse,mse,mae,mape,n_scored,config
Bengaluru,2,2019-10-06,2019-11-04,1660,LSTM,44,22.416615485542405,502.5046498266596,18.96461069547323,25.961860473677902,30,"LSTM(1x64) lookback=60, direct 30-step, 23 epochs (early stop), seed=44"
Bengaluru,3,2019-06-08,2019-07-07,1540,LSTM,42,15.887815464946312,252.4226802481872,13.072531608003437,21.87557836203308,30,"LSTM(1x64) lookback=60, direct 30-step, 20 epochs (early stop), seed=42"
Bengaluru,3,2019-06-08,2019-07-07,1540,LSTM,43,19.43259586648785,377.6257821102408,16.6725899551577,27.501716035815676,30,"LSTM(1x64) lookback=60, direct 30-step, 24 epochs (early stop), seed=43"
Bengaluru,3,2019-06-08,2019-07-07,1540,LSTM,44,14.904678010578122,222.14942659901098,13.090573515601822,21.57266148074378,30,"LSTM(1x64) lookback=60, direct 30-step, 17 epochs (early stop), seed=44"
Bengaluru,4,2019-02-08,2019-03-09,1420,LSTM,42,23.907069644815767,571.5479790020714,17.656251614594698,15.059840901132517,30,"LSTM(1x64) lookback=60, direct 30-step, 19 epochs (early stop), seed=42"
Bengaluru,4,2019-02-08,2019-03-09,1420,LSTM,43,23.327834201168468,544.1878485172052,18.125332684428546,16.633989044910606,30,"LSTM(1x64) lookback=60, direct 30-step, 22 epochs (early stop), seed=43"
Bengaluru,4,2019-02-08,2019-03-09,1420,LSTM,44,35.999283668377835,1295.9484246363352,30.407929812005886,28.729701425313515,30,"LSTM(1x64) lookback=60, direct 30-step, 48 epochs (early stop), seed=44"
Bengaluru,5,2018-10-11,2018-11-09,1300,LSTM,42,28.699750343189052,823.6756697613802,21.897546822923005,19.02187681654762,30,"LSTM(1x64) lookback=60, direct 30-step, 22 epochs (early stop), seed=42"
Bengaluru,5,2018-10-11,2018-11-09,1300,LSTM,43,29.46837295234885,868.3850044587252,22.49261172570105,19.552379163785176,30,"LSTM(1x64) lookback=60, direct 30-step, 23 epochs (early stop), seed=43"
Bengaluru,5,2018-10-11,2018-11-09,1300,LSTM,44,28.260164947650622,798.6369228684208,21.800232269044553,19.022292160137983,30,"LSTM(1x64) lookback=60, direct 30-step, 26 epochs (early stop), seed=44"
Chennai,0,2020-06-02,2020-07-01,1897,LSTM,42,24.079975161114742,579.8452037599029,16.999767395893105,14.94072335464949,30,"LSTM(1x64) lookback=60, direct 30-step, 33 epochs (early stop), seed=42"
Chennai,0,2020-06-02,2020-07-01,1897,LSTM,43,24.490744081619887,599.7965456713995,16.926213811814712,14.662423769806818,30,"LSTM(1x64) lookback=60, direct 30-step, 27 epochs (early stop), seed=43"
Chennai,0,2020-06-02,2020-07-01,1897,LSTM,44,24.565020485316868,603.4402314440374,17.37194821101464,15.201813990783359,30,"LSTM(1x64) lookback=60, direct 30-step, 35 epochs (early stop), seed=44"
Chennai,1,2020-02-03,2020-03-03,1777,LSTM,42,15.673262351342194,245.65115273400062,12.362401829729746,15.940828024864132,30,"LSTM(1x64) lookback=60, direct 30-step, 44 epochs (early stop), seed=42"
Chennai,1,2020-02-03,2020-03-03,1777,LSTM,43,19.15822977780007,367.0377682189853,16.948772459663925,22.719805765890996,30,"LSTM(1x64) lookback=60, direct 30-step, 33 epochs (early stop), seed=43"
Chennai,1,2020-02-03,2020-03-03,1777,LSTM,44,16.79920822995332,282.21339715333136,14.290918846771396,18.98657240515284,30,"LSTM(1x64) lookback=60, direct 30-step, 39 epochs (early stop), seed=44"
Chennai,2,2019-10-06,2019-11-04,1657,LSTM,42,53.682257413234026,2881.78476098072,42.19521085313542,41.62642885088659,30,"LSTM(1x64) lookback=60, direct 30-step, 48 epochs (early stop), seed=42"
Chennai,2,2019-10-06,2019-11-04,1657,LSTM,43,53.15802270375508,2825.7753777729404,39.4557577173739,37.09711489830373,30,"LSTM(1x64) lookback=60, direct 30-step, 25 epochs (early stop), seed=43"
Chennai,2,2019-10-06,2019-11-04,1657,LSTM,44,55.233384596212474,3050.7267739531217,45.63152147629322,46.7418967633205,30,"LSTM(1x64) lookback=60, direct 30-step, 40 epochs (early stop), seed=44"
Chennai,3,2019-06-08,2019-07-07,1537,LSTM,42,28.544194590257696,814.7710448064967,20.050279830484875,16.99173319919111,30,"LSTM(1x64) lookback=60, direct 30-step, 59 epochs (early stop), seed=42"
Chennai,3,2019-06-08,2019-07-07,1537,LSTM,43,29.090861524256294,846.2782242234553,20.640697736856797,17.48257897703664,30,"LSTM(1x64) lookback=60, direct 30-step, 42 epochs (early stop), seed=43"
Chennai,3,2019-06-08,2019-07-07,1537,LSTM,44,27.601772468129244,761.8578433823775,19.769654155536273,17.160482299658717,30,"LSTM(1x64) lookback=60, direct 30-step, 40 epochs (early stop), seed=44"
Chennai,4,2019-02-08,2019-03-09,1417,LSTM,42,60.492497268287096,3659.342225753722,37.73506334023151,27.628045252478483,30,"LSTM(1x64) lookback=60, direct 30-step, 19 epochs (early stop), seed=42"
Chennai,4,2019-02-08,2019-03-09,1417,LSTM,43,59.918400000682766,3590.2146586418207,40.23086656030467,31.582901856680383,30,"LSTM(1x64) lookback=60, direct 30-step, 28 epochs (early stop), seed=43"
Chennai,4,2019-02-08,2019-03-09,1417,LSTM,44,61.02501149779352,3724.0520283058313,38.53382292432312,28.631565635751517,30,"LSTM(1x64) lookback=60, direct 30-step, 28 epochs (early stop), seed=44"
Chennai,5,2018-10-11,2018-11-09,1297,LSTM,42,40.0074015384332,1600.592177857427,31.553135289765457,27.274377523950378,30,"LSTM(1x64) lookback=60, direct 30-step, 23 epochs (early stop), seed=42"
Chennai,5,2018-10-11,2018-11-09,1297,LSTM,43,40.344223230572275,1627.6563480782477,31.749512262141145,27.43805660336374,30,"LSTM(1x64) lookback=60, direct 30-step, 23 epochs (early stop), seed=43"
Chennai,5,2018-10-11,2018-11-09,1297,LSTM,44,40.70183239682856,1656.6391604595228,32.00898448380937,27.59495774240318,30,"LSTM(1x64) lookback=60, direct 30-step, 25 epochs (early stop), seed=44"
Hyderabad,0,2020-06-02,2020-07-01,1890,LSTM,42,27.884579258384875,777.549760417148,25.99220551516025,64.57015406428022,30,"LSTM(1x64) lookback=60, direct 30-step, 19 epochs (early stop), seed=42"
Hyderabad,0,2020-06-02,2020-07-01,1890,LSTM,43,24.839228954542385,616.9872950561768,22.779873323289788,57.17406177588828,30,"LSTM(1x64) lookback=60, direct 30-step, 20 epochs (early stop), seed=43"
Hyderabad,0,2020-06-02,2020-07-01,1890,LSTM,44,28.20203287741993,795.3546584190747,26.322461897356852,65.30168925791048,30,"LSTM(1x64) lookback=60, direct 30-step, 19 epochs (early stop), seed=44"
Hyderabad,1,2020-02-03,2020-03-03,1770,LSTM,42,33.50928237882151,1122.8720055435979,29.72294305863773,35.97308080257934,30,"LSTM(1x64) lookback=60, direct 30-step, 18 epochs (early stop), seed=42"
Hyderabad,1,2020-02-03,2020-03-03,1770,LSTM,43,32.02864862034412,1025.8343324454715,28.742586766640162,34.490714993151904,30,"LSTM(1x64) lookback=60, direct 30-step, 27 epochs (early stop), seed=43"
Hyderabad,1,2020-02-03,2020-03-03,1770,LSTM,44,32.959065618279325,1086.3000064300422,29.254065864910523,35.28850848947551,30,"LSTM(1x64) lookback=60, direct 30-step, 25 epochs (early stop), seed=44"
Hyderabad,2,2019-10-06,2019-11-04,1650,LSTM,42,49.60084287439638,2460.2436138505577,40.924467504737336,62.653235247955884,30,"LSTM(1x64) lookback=60, direct 30-step, 52 epochs (early stop), seed=42"
Hyderabad,2,2019-10-06,2019-11-04,1650,LSTM,43,31.912628177492827,1018.4158371949092,27.23035304603083,40.88409258692434,30,"LSTM(1x64) lookback=60, direct 30-step, 31 epochs (early stop), seed=43"
Hyderabad,2,2019-10-06,2019-11-04,1650,LSTM,44,45.11634667468464,2035.4847372703277,37.32833710626697,56.99235661574827,30,"LSTM(1x64) lookback=60, direct 30-step, 29 epochs (early stop), seed=44"
Hyderabad,3,2019-06-08,2019-07-07,1530,LSTM,42,48.977267390149976,2398.772721006248,47.326094438608,99.70724782130104,30,"LSTM(1x64) lookback=60, direct 30-step, 16 epochs (early stop), seed=42"
Hyderabad,3,2019-06-08,2019-07-07,1530,LSTM,43,52.71956348850002,2779.3523744179843,51.15237696499343,107.32011864509883,30,"LSTM(1x64) lookback=60, direct 30-step, 16 epochs (early stop), seed=43"
Hyderabad,3,2019-06-08,2019-07-07,1530,LSTM,44,49.11181194753942,2411.9700727704762,47.70357800310284,99.86956494131722,30,"LSTM(1x64) lookback=60, direct 30-step, 16 epochs (early stop), seed=44"
Hyderabad,4,2019-02-08,2019-03-09,1410,LSTM,42,23.19603171583049,538.055887361814,17.84849707139107,18.896115928095295,30,"LSTM(1x64) lookback=60, direct 30-step, 39 epochs (early stop), seed=42"
Hyderabad,4,2019-02-08,2019-03-09,1410,LSTM,43,25.251860604491966,637.6564639886933,19.75781221342629,20.964228076612663,30,"LSTM(1x64) lookback=60, direct 30-step, 50 epochs (early stop), seed=43"
Hyderabad,4,2019-02-08,2019-03-09,1410,LSTM,44,23.242387884850082,540.2085945898259,17.821216937453546,18.890552712827997,30,"LSTM(1x64) lookback=60, direct 30-step, 31 epochs (early stop), seed=44"
Hyderabad,5,2018-10-11,2018-11-09,1290,LSTM,42,22.918762073139263,525.2696549651668,18.43918992737276,21.666756959442168,30,"LSTM(1x64) lookback=60, direct 30-step, 26 epochs (early stop), seed=42"
Hyderabad,5,2018-10-11,2018-11-09,1290,LSTM,43,34.47658096427439,1188.6346349861672,26.2882956774957,32.892252202937186,30,"LSTM(1x64) lookback=60, direct 30-step, 24 epochs (early stop), seed=43"
Hyderabad,5,2018-10-11,2018-11-09,1290,LSTM,44,25.804299627984307,665.8618792907911,21.966365873388717,23.1053547544335,30,"LSTM(1x64) lookback=60, direct 30-step, 29 epochs (early stop), seed=44"
Lucknow,0,2020-06-02,2020-07-01,1900,LSTM,42,37.906450825086466,1436.8990141546985,31.559316392546098,33.32697445469668,30,"LSTM(1x64) lookback=60, direct 30-step, 17 epochs (early stop), seed=42"
Lucknow,0,2020-06-02,2020-07-01,1900,LSTM,43,73.4867129970496,5400.296987110737,68.76837265828019,85.78726242556041,30,"LSTM(1x64) lookback=60, direct 30-step, 16 epochs (early stop), seed=43"
Lucknow,0,2020-06-02,2020-07-01,1900,LSTM,44,37.23218644654581,1386.2357075903496,31.5670925045374,34.391996422458895,30,"LSTM(1x64) lookback=60, direct 30-step, 17 epochs (early stop), seed=44"
Lucknow,1,2020-02-03,2020-03-03,1780,LSTM,42,67.30110155026338,4529.438269878865,51.99139112570685,35.9322310402942,30,"LSTM(1x64) lookback=60, direct 30-step, 30 epochs (early stop), seed=42"
Lucknow,1,2020-02-03,2020-03-03,1780,LSTM,43,71.99394773230362,5183.128510081666,55.14451616038412,38.68783875147438,30,"LSTM(1x64) lookback=60, direct 30-step, 32 epochs (early stop), seed=43"
Lucknow,1,2020-02-03,2020-03-03,1780,LSTM,44,64.23234877776694,4125.7946295086995,53.55762735665796,33.57075414199076,30,"LSTM(1x64) lookback=60, direct 30-step, 49 epochs (early stop), seed=44"
Lucknow,2,2019-10-06,2019-11-04,1660,LSTM,42,44.96964379076397,2022.268862668196,29.47350363950762,13.636548928204736,30,"LSTM(1x64) lookback=60, direct 30-step, 45 epochs (early stop), seed=42"
Lucknow,2,2019-10-06,2019-11-04,1660,LSTM,43,41.250095752291365,1701.5703995732063,30.826773562067277,12.439150526236228,30,"LSTM(1x64) lookback=60, direct 30-step, 31 epochs (early stop), seed=43"
Lucknow,2,2019-10-06,2019-11-04,1660,LSTM,44,53.72525630541587,2886.4031650826273,45.5928772221439,17.05381299809394,30,"LSTM(1x64) lookback=60, direct 30-step, 30 epochs (early stop), seed=44"
Lucknow,3,2019-06-08,2019-07-07,1540,LSTM,42,51.62555249183591,2665.197670087305,37.48882952901167,21.283992614263603,30,"LSTM(1x64) lookback=60, direct 30-step, 32 epochs (early stop), seed=42"
Lucknow,3,2019-06-08,2019-07-07,1540,LSTM,43,47.58749835834903,2264.5700000058714,35.85697295544569,21.036291539985815,30,"LSTM(1x64) lookback=60, direct 30-step, 31 epochs (early stop), seed=43"
Lucknow,3,2019-06-08,2019-07-07,1540,LSTM,44,48.40008346412811,2342.5680793345673,36.661720985307966,21.397441960411285,30,"LSTM(1x64) lookback=60, direct 30-step, 28 epochs (early stop), seed=44"
Lucknow,4,2019-02-08,2019-03-09,1420,LSTM,42,77.54627886750625,6013.425366197045,64.95835322933559,36.228347072094536,30,"LSTM(1x64) lookback=60, direct 30-step, 38 epochs (early stop), seed=42"
Lucknow,4,2019-02-08,2019-03-09,1420,LSTM,43,83.35404361027635,6947.896586183851,70.27085707824219,39.773495812376794,30,"LSTM(1x64) lookback=60, direct 30-step, 36 epochs (early stop), seed=43"
Lucknow,4,2019-02-08,2019-03-09,1420,LSTM,44,83.37077069240857,6950.685405846172,70.63811742521995,39.89195733632747,30,"LSTM(1x64) lookback=60, direct 30-step, 40 epochs (early stop), seed=44"
Lucknow,5,2018-10-11,2018-11-09,1300,LSTM,42,60.34733005084393,3641.8002442654906,47.29489024210816,20.342497542685482,30,"LSTM(1x64) lookback=60, direct 30-step, 32 epochs (early stop), seed=42"
Lucknow,5,2018-10-11,2018-11-09,1300,LSTM,43,49.80324088390222,2480.36280253999,40.20644211324041,16.741977857310307,30,"LSTM(1x64) lookback=60, direct 30-step, 59 epochs (early stop), seed=43"
Lucknow,5,2018-10-11,2018-11-09,1300,LSTM,44,49.47987152430089,2448.257686061322,36.17206643049246,15.522945573598301,30,"LSTM(1x64) lookback=60, direct 30-step, 39 epochs (early stop), seed=44"
Ahmedabad,0,2020-06-02,2020-07-01,965,LSTM,42,26.700540709313422,712.9188741697033,23.95328948619146,28.11078824659898,28,"LSTM(1x64) lookback=60, direct 30-step, 19 epochs (early stop), seed=42"
Ahmedabad,0,2020-06-02,2020-07-01,965,LSTM,43,26.709982136846783,713.4231457506742,24.446155856764218,28.868278435866436,28,"LSTM(1x64) lookback=60, direct 30-step, 25 epochs (early stop), seed=43"
Ahmedabad,0,2020-06-02,2020-07-01,965,LSTM,44,34.72385310236654,1205.7459742747305,32.362781322836376,38.58991967681414,28,"LSTM(1x64) lookback=60, direct 30-step, 35 epochs (early stop), seed=44"
Ahmedabad,1,2020-02-03,2020-03-03,845,LSTM,42,50.546929792160505,2554.992111413603,38.39865670058557,23.59908933539731,30,"LSTM(1x64) lookback=60, direct 30-step, 16 epochs (early stop), seed=42"
Ahmedabad,1,2020-02-03,2020-03-03,845,LSTM,43,49.72652791092911,2472.7275780764116,38.246177708242485,23.727590802789443,30,"LSTM(1x64) lookback=60, direct 30-step, 16 epochs (early stop), seed=43"
Ahmedabad,1,2020-02-03,2020-03-03,845,LSTM,44,49.78300963120091,2478.348047940243,36.91800479545542,22.46423388564916,30,"LSTM(1x64) lookback=60, direct 30-step, 16 epochs (early stop), seed=44"
Ahmedabad,2,2019-10-06,2019-11-04,725,LSTM,42,89.32559812584465,7979.062480539901,77.78432024450068,35.804302352452275,29,"LSTM(1x64) lookback=60, direct 30-step, 19 epochs (early stop), seed=42"
Ahmedabad,2,2019-10-06,2019-11-04,725,LSTM,43,88.50998833284646,7834.018034680617,76.79878434279678,35.24271811061402,29,"LSTM(1x64) lookback=60, direct 30-step, 19 epochs (early stop), seed=43"
