city,start,end,n_days,n_interpolated,n_train,raw_adf_stat,raw_adf_p,raw_adf_lags,raw_adf_crit_5,raw_kpss_stat,raw_kpss_p,raw_diff_adf_stat,raw_diff_adf_p,raw_diff_adf_lags,raw_diff_adf_crit_5,raw_diff_kpss_stat,raw_diff_kpss_p,raw_adf_says_stationary,raw_kpss_says_stationary,raw_recommended_d,log_adf_stat,log_adf_p,log_adf_lags,log_adf_crit_5,log_kpss_stat,log_kpss_p,log_diff_adf_stat,log_diff_adf_p,log_diff_adf_lags,log_diff_adf_crit_5,log_diff_kpss_stat,log_diff_kpss_p,log_adf_says_stationary,log_kpss_says_stationary,log_recommended_d,acf_7,acf_7_peak_lag,acf_30,acf_30_peak_lag,acf_182,acf_182_peak_lag,acf_365,acf_365_peak_lag,stl_strength_7,stl_strength_365
Delhi,2015-01-01,2020-07-01,2009,10,1979,-3.45873710069284,0.009112247778067383,17,-2.86301499720276,0.7267272954848032,0.011115700410472436,-15.558123755320892,2.0589638387194336e-28,16,-2.86301499720276,0.0299624496278334,0.1,True,False,0,-3.430834973085481,0.009951561095576105,13,-2.863011992405672,0.7559831137686691,0.01,-17.576624457218887,4.026610715024771e-30,12,-2.863011992405672,0.027057848398623914,0.1,True,False,0,0.7958516488759891,2,0.5041154991661385,25,-0.18150104804846326,187,0.5310504072116181,370,0.057390033660539186,0.6742223322970227
Bengaluru,2015-03-21,2020-07-01,1930,20,1900,-6.150641751259516,7.577202484295628e-08,12,-2.8630728855421026,1.1477661254545948,0.01,-13.639546868443205,1.6632277397950977e-25,24,-2.8630835276091933,0.058335513905926936,0.1,True,False,0,-5.660007381845472,9.427284146770966e-07,12,-2.8630728855421026,0.5324701959547486,0.0343535594696512,-13.055293747671872,2.1009977256390326e-24,24,-2.8630835276091933,0.04447843528109771,0.1,True,False,0,0.44910153072262327,2,0.2022371386201928,26,-0.08594680980284139,178,0.1324947491859332,363,0.004123130750342874,0.3988753545485172
Chennai,2015-03-24,2020-07-01,1927,43,1897,-7.424057563083476,6.619819217882053e-11,13,-2.8630761443612065,3.0896152656283737,0.01,-13.744993176247286,1.0767225504583884e-25,25,-2.863086831883029,0.11510161912721448,0.1,True,False,0,-4.668600511243351,9.635639679099777e-05,26,-2.863086831883029,3.2834265596786554,0.01,-13.843897599179208,7.208448956099619e-26,25,-2.863086831883029,0.09049130507537666,0.1,True,False,0,0.47251360124091296,2,0.08214226804960152,35,-0.01631473184412562,177,0.027787598102037726,367,0.04974319617948508,0.20341240701240415
Hyderabad,2015-03-31,2020-07-01,1920,40,1890,-3.9454804283153737,0.0017244966666330372,26,-2.8630926485318433,2.1472420221702135,0.01,-11.19582176038628,2.3079549836383068e-20,25,-2.8630926485318433,0.10167519658956829,0.1,True,False,0,-3.69145868264313,0.0042349121245572425,25,-2.8630918149051507,1.6126229254037905,0.01,-10.818904077496407,1.826893825805659e-19,24,-2.8630918149051507,0.03994538944864195,0.1,True,False,0,0.4203578980559428,2,0.24662232410042145,26,-0.09346633096616067,185,0.10546400287493499,363,0.049978942343488764,0.504798056289755
Lucknow,2015-03-21,2020-07-01,1930,37,1900,-3.3814192697260452,0.011608833019650865,13,-2.8630736989499335,0.18197346899579062,0.1,-17.23979354650538,6.117557681555656e-30,12,-2.8630736989499335,0.06219869625555312,0.1,True,True,0,-3.5564291784340125,0.0066507704920439874,13,-2.8630736989499335,0.13965149209489666,0.1,-13.265889840139264,8.220335353490086e-25,19,-2.8630794170659684,0.03608901358586874,0.1,True,True,0,0.8080118835419248,2,0.5753864818621719,25,-0.3402014511151907,187,0.5682661691131174,367,0.07363889337731644,0.7499078604777156
Ahmedabad,2017-10-11,2020-07-01,995,41,965,-3.9520942134337242,0.0016832137677442926,14,-2.864587159166059,1.4819971490692954,0.01,-13.35219750083892,5.639505512227382e-25,13,-2.864587159166059,0.12242032666695411,0.1,True,False,0,-3.449557247166706,0.009381107637710025,12,-2.8645807475403657,1.7218621822637206,0.01,-12.38984236014177,4.816633313136265e-23,15,-2.864593597887944,0.22870901562396828,0.1,True,False,0,0.40027168702786703,2,0.15689131726748481,31,-0.08746318465501922,180,0.07284432596420655,360,0.0,0.5776054963336285
